,0
786,3.9835172
787,18.825737
788,19.781427
789,28.667126
790,28.479202
791,22.406208
792,14.736193
793,9.714698
794,6.7458644
795,4.8113856
796,5.021077
797,3.7868156
798,4.221339
799,3.279551
800,2.6604433
801,2.2392855
802,1.9354807
803,1.7027168
804,1.5257175
805,1.453269
806,1.3476434
807,3.1420002
808,2.601801
809,3.3855107
810,2.8076465
811,2.3207836
812,1.9763807
813,1.7203372
814,1.5242732
815,1.5293823
816,3.0432844
817,2.4821458
818,2.089345
819,2.1376617
820,4.337331
821,3.3406854
822,2.6801534
823,2.2268286
824,1.9009655
825,2.3791316
826,11.756369
827,12.148958
828,9.326906
829,6.951144
830,5.1340857
831,3.856425
832,2.9936004
833,2.451651
834,2.0830529
835,1.8181204
836,1.606341
837,1.4186006
838,1.5262119
839,2.965946
840,5.072463
841,3.8854508
842,3.5578334
843,8.545378
844,8.857757
845,6.636735
846,5.50644
847,4.6926947
848,5.4937463
849,4.4501877
850,3.4412165
851,2.7946439
852,7.3937936
853,5.606927
854,4.313599
855,3.3150082
856,3.9070156
857,3.7680712
858,3.0569434
859,2.6966987
860,2.2745929
861,5.4079103
862,9.316574
863,6.5546412
864,4.6895094
865,3.4158587
866,2.7894888
867,2.3375626
868,11.331402
869,12.881952
870,9.627092
871,10.366739
872,8.172564
873,5.9940133
874,4.767133
875,3.7668786
876,3.123705
877,3.4648216
878,2.7310836
879,3.4182768
880,2.9546373
881,2.3387003
882,1.9566602
883,1.6965582
884,1.4618096
885,1.2658772
886,1.1889968
887,1.3704568
888,1.2209455
889,1.0971963
890,2.0591037
891,1.7217764
892,1.4838169
893,1.3712026
894,2.4186106
895,3.901886
896,2.973915
897,2.5560184
898,2.217764
899,2.652247
900,2.2543807
901,1.8127313
902,11.716452
903,8.145662
904,5.811993
905,4.4005556
906,4.2589736
907,3.3453693
908,10.006353
909,9.644064
910,8.696754
911,30.736832
912,34.558067
913,27.169958
914,16.082508
915,9.744557
916,6.878704
917,5.109682
918,3.8291469
919,2.8241332
920,2.4538803
921,2.1800144
922,3.9583259
923,4.2525287
924,4.825925
925,3.447843
926,2.5075846
927,2.090611
928,1.6462401
929,1.3334804
930,1.1039519
931,1.0350837
932,1.1135639
933,1.2787037
934,1.7750504
935,1.5556235
936,1.3978775
937,1.1593411
938,1.0641218
939,1.632859
940,1.7772503
941,2.4047394
942,4.079492
943,12.862517
944,10.208938
945,6.720082
946,4.1697025
947,2.6564565
948,1.7692705
949,1.2927723
950,0.9515761
951,1.0201523
952,0.8832672
953,0.70822334
954,0.62505025
955,0.52213144
956,0.45931602
957,0.4032953
958,0.3552804
959,0.32751372
960,0.3049115
961,0.2801183
962,0.2532458
963,0.22878917
964,0.2152476
965,0.19575146
966,0.18770856
967,0.1795727
968,0.15956841
969,0.15685984
970,0.25264084
971,0.44286415
972,0.6101533
973,0.5234793
974,0.8039423
975,0.6219094
976,0.48988342
977,0.41669232
978,0.35320875
979,0.30236715
980,0.2742152
981,0.3792366
982,0.34751916
983,0.44754416
984,0.53696764
985,1.3331089
986,1.0392654
987,0.8659817
988,0.88713855
989,0.6227856
990,0.47162682
991,0.380145
992,0.31953728
993,0.37887508
994,0.31374818
995,0.58730924
